Source,Target,weight
7457,7355,160.0
7457,7406,120.0
7457,7408,120.0
7457,7411,120.0
7457,7412,160.0
7457,7419,160.0
7457,7421,150.0
7457,7437,120.0
7457,7445,160.0
7458,7406,120.0
7458,7408,120.0
7459,7445,160.0
7460,7180,200.0
7460,7351,80.0
7460,7358,236.0
7460,7362,40.0
7460,7363,120.0
7460,7408,120.0
7460,7420,120.0
7460,7445,160.0
7460,7448,246.66666
7461,7175,250.0
7461,7180,521.5
7461,7292,645.0
7461,7351,514.5
7461,7355,297.0
7461,7358,615.2
7461,7360,244.0
7461,7362,517.0
7461,7363,291.3
7461,7367,120.0
7461,7368,864.26666
7461,7369,120.0
7461,7370,120.0
7461,7382,240.0
7461,7384,438.0
7461,7401,120.0
7461,7406,131.33333
7461,7408,412.8
7461,7411,124.0
7461,7419,297.0
7461,7421,472.6667
7461,7425,120.0
7461,7428,120.0
7461,7434,120.0
7461,7437,284.0
7461,7445,137.0
7461,7448,841.1666
7461,7450,128.0
7461,7454,485.0
7461,7459,130.0
7461,7460,120.0
7461,7658,144.0
7461,8186,360.0
7462,7434,120.0
7462,7460,120.0
7463,7461,120.0
7464,7461,120.0
7465,7461,120.0
7466,7460,124.0
7466,7461,124.0
7467,7419,160.0
7467,7448,240.0
7467,7459,120.0
7467,7460,368.0
7467,7461,282.8
7468,7346,160.0
7468,7358,120.0
7468,7362,80.0
7468,7363,240.0
7468,7366,240.0
7468,7368,240.0
7468,7419,124.0
7468,7420,120.0
7468,7421,248.0
7468,7448,120.0
7468,7454,120.0
7468,7461,240.0
7468,7670,128.0
7468,7848,160.0
7469,7419,160.0
7469,7448,240.0
7469,7461,120.0
7471,7488,120.0
7471,9638,120.0
7472,9644,120.0
7473,7470,120.0
7473,7472,120.0
7474,7180,360.0
7474,7355,160.0
7474,7358,228.0
7474,7360,120.0
7474,7408,108.0
7474,7419,284.0
7474,7421,248.0
7474,7434,240.0
7474,7437,160.0
7474,7448,246.66666
7474,7460,40.0
7474,7461,296.44446
7474,7466,124.0
7474,7469,228.0
7474,7472,120.0
7474,7473,120.0
7475,9354,120.0
7475,9356,120.0
7476,7448,240.0
7476,7461,240.0
7476,7474,120.0
7478,7470,120.0
7478,7473,120.0
7480,7474,120.0
7480,7484,120.0
7480,9398,120.0
7481,7180,493.5
7481,7351,258.8
7481,7355,160.0
7481,7358,428.13333
7481,7360,280.0
7481,7361,160.0
7481,7362,262.0
7481,7363,447.1667
7481,7368,510.6667
7481,7382,384.0
7481,7384,394.0
7481,7408,294.0
7481,7419,160.0
7481,7421,610.8
7481,7434,252.0
7481,7437,288.0
7481,7448,423.0
7481,7454,298.6667
7481,7459,120.0
7481,7460,384.0
7481,7461,1178.75
7481,7467,304.0
7481,7469,280.8
7481,7471,249.33334
7481,7472,120.0
7481,7473,296.8
7481,7474,408.8
